id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
7346,CDS,cde_fo,JPYINR,10408,OPTCUR,PE,59.75,JPYINR10MARCH2359.75PE,JPYINR2331059.75PE,JPYINR 10MAR23 59.75 PE,10-03-2023,1,0.0025
7347,CDS,cde_fo,JPYINR,10409,OPTCUR,CE,60,JPYINR10MARCH2360CE,JPYINR2331060CE,JPYINR 10MAR23 60 CE,10-03-2023,1,0.0025
7348,CDS,cde_fo,JPYINR,10410,OPTCUR,PE,60,JPYINR10MARCH2360PE,JPYINR2331060PE,JPYINR 10MAR23 60 PE,10-03-2023,1,0.0025
7349,CDS,cde_fo,JPYINR,10411,OPTCUR,CE,60.25,JPYINR10MARCH2360.25CE,JPYINR2331060.25CE,JPYINR 10MAR23 60.25 CE,10-03-2023,1,0.0025
7350,CDS,cde_fo,JPYINR,10412,OPTCUR,PE,60.25,JPYINR10MARCH2360.25PE,JPYINR2331060.25PE,JPYINR 10MAR23 60.25 PE,10-03-2023,1,0.0025
7351,CDS,cde_fo,EURINR,10417,OPTCUR,CE,80.75,EURINR10FEBRUARY2380.75CE,EURINR2321080.75CE,EURINR 10FEB23 80.75 CE,10-02-2023,1,0.0025
7352,CDS,cde_fo,EURINR,10418,OPTCUR,PE,80.75,EURINR10FEBRUARY2380.75PE,EURINR2321080.75PE,EURINR 10FEB23 80.75 PE,10-02-2023,1,0.0025
7353,CDS,cde_fo,EURINR,10419,OPTCUR,CE,81,EURINR10FEBRUARY2381CE,EURINR2321081CE,EURINR 10FEB23 81 CE,10-02-2023,1,0.0025
7354,CDS,cde_fo,JPYINR,10420,OPTCUR,CE,60.5,JPYINR10MARCH2360.5CE,JPYINR2331060.5CE,JPYINR 10MAR23 60.5 CE,10-03-2023,1,0.0025
7355,CDS,cde_fo,JPYINR,10421,OPTCUR,PE,60.5,JPYINR10MARCH2360.5PE,JPYINR2331060.5PE,JPYINR 10MAR23 60.5 PE,10-03-2023,1,0.0025
7356,CDS,cde_fo,JPYINR,10422,OPTCUR,CE,60.75,JPYINR10MARCH2360.75CE,JPYINR2331060.75CE,JPYINR 10MAR23 60.75 CE,10-03-2023,1,0.0025
7357,CDS,cde_fo,JPYINR,10423,OPTCUR,PE,60.75,JPYINR10MARCH2360.75PE,JPYINR2331060.75PE,JPYINR 10MAR23 60.75 PE,10-03-2023,1,0.0025
7358,CDS,cde_fo,JPYINR,10424,OPTCUR,CE,61,JPYINR10MARCH2361CE,JPYINR2331061CE,JPYINR 10MAR23 61 CE,10-03-2023,1,0.0025
7359,CDS,cde_fo,JPYINR,10427,OPTCUR,CE,56,JPYINR17FEBRUARY2356CE,JPYINR2321756CE,JPYINR 17FEB23 56 CE,17-02-2023,1,0.0025
7360,CDS,cde_fo,JPYINR,10428,OPTCUR,PE,61,JPYINR10MARCH2361PE,JPYINR2331061PE,JPYINR 10MAR23 61 PE,10-03-2023,1,0.0025
7361,CDS,cde_fo,GBPUSD,10430,OPTCUR,CE,1.255,GBPUSD27JANUARY231.255CE,GBPUSD23JAN1.255CE,GBPUSD 27JAN23 1.255 CE,27-01-2023,1,0.0001
7362,CDS,cde_fo,GBPUSD,10431,OPTCUR,PE,1.255,GBPUSD27JANUARY231.255PE,GBPUSD23JAN1.255PE,GBPUSD 27JAN23 1.255 PE,27-01-2023,1,0.0001
7363,CDS,cde_fo,EURINR,10432,OPTCUR,PE,81,EURINR10FEBRUARY2381PE,EURINR2321081PE,EURINR 10FEB23 81 PE,10-02-2023,1,0.0025
7364,CDS,cde_fo,EURINR,10433,OPTCUR,CE,81.25,EURINR10FEBRUARY2381.25CE,EURINR2321081.25CE,EURINR 10FEB23 81.25 CE,10-02-2023,1,0.0025
7365,CDS,cde_fo,JPYINR,10437,OPTCUR,PE,63,JPYINR27JUNE2363PE,JPYINR23JUN63PE,JPYINR 27JUN23 63 PE,27-06-2023,1,0.0025
7366,CDS,cde_fo,JPYINR,10438,OPTCUR,CE,63.25,JPYINR27JUNE2363.25CE,JPYINR23JUN63.25CE,JPYINR 27JUN23 63.25 CE,27-06-2023,1,0.0025
7367,CDS,cde_fo,JPYINR,10441,OPTCUR,CE,49.5,JPYINR27JANUARY2349.5CE,JPYINR23JAN49.5CE,JPYINR 27JAN23 49.5 CE,27-01-2023,1,0.0025
7368,CDS,cde_fo,EURINR,10442,OPTCUR,PE,81.25,EURINR10FEBRUARY2381.25PE,EURINR2321081.25PE,EURINR 10FEB23 81.25 PE,10-02-2023,1,0.0025
7369,CDS,cde_fo,EURINR,10443,OPTCUR,CE,81.5,EURINR10FEBRUARY2381.5CE,EURINR2321081.5CE,EURINR 10FEB23 81.5 CE,10-02-2023,1,0.0025
7370,CDS,cde_fo,EURINR,10444,OPTCUR,PE,81.5,EURINR10FEBRUARY2381.5PE,EURINR2321081.5PE,EURINR 10FEB23 81.5 PE,10-02-2023,1,0.0025
7371,CDS,cde_fo,JPYINR,10451,OPTCUR,PE,56,JPYINR17FEBRUARY2356PE,JPYINR2321756PE,JPYINR 17FEB23 56 PE,17-02-2023,1,0.0025
7372,CDS,cde_fo,JPYINR,10452,OPTCUR,CE,56.25,JPYINR17FEBRUARY2356.25CE,JPYINR2321756.25CE,JPYINR 17FEB23 56.25 CE,17-02-2023,1,0.0025
7373,CDS,cde_fo,JPYINR,10453,OPTCUR,PE,56.25,JPYINR17FEBRUARY2356.25PE,JPYINR2321756.25PE,JPYINR 17FEB23 56.25 PE,17-02-2023,1,0.0025
7374,CDS,cde_fo,JPYINR,10454,OPTCUR,CE,56.5,JPYINR17FEBRUARY2356.5CE,JPYINR2321756.5CE,JPYINR 17FEB23 56.5 CE,17-02-2023,1,0.0025
7375,CDS,cde_fo,USDINR,10455,OPTCUR,PE,79.25,USDINR27DECEMBER2379.25PE,USDINR23DEC79.25PE,USDINR 27DEC23 79.25 PE,27-12-2023,1,0.0025
7376,CDS,cde_fo,USDINR,10456,OPTCUR,CE,79.5,USDINR27DECEMBER2379.5CE,USDINR23DEC79.5CE,USDINR 27DEC23 79.5 CE,27-12-2023,1,0.0025
